Name,Symbol,Branche,Index
Covestro,1COV,Chemie,DAX
Adidas,ADS,Bekleidung,DAX
Allianz,ALV,Versicherungen,DAX
BASF,BAS,Chemie,DAX
Bayer,BAYN,Chemie und Pharma,DAX
Beiersdorf,BEI,Konsumgüter,DAX
BMW,BMW,Automobilproduktion,DAX
Continental,CON,Automobilzulieferer,DAX
Daimler,DAI,Automobilproduktion,DAX
Deutsche Börse,DB1,Banking,DAX
Deutsche Bank,DBK,Banking,DAX
Deutsche Post,DPW,Logistik,DAX
Deutsche Telekom,DTE,Telecommunication,DAX
E.ON,EOAN,Versorger,DAX
Fresenius Medical Care,FME,Medizintechnik,DAX
Fresenius,FRE,Medizintechnik und Klinikbetrieb,DAX
HeidelbergCement,HEI,Baustoffe,DAX
Henkel,HEN3,Konsumgüter und Chemie,DAX
Infineon Technologies,IFX,Halbleiter,DAX
Deutsche Lufthansa,LHA,Luftfahrt,DAX
Linde,LIN,Industriegase und Anlagenbau,DAX
Merck,MRK,Chemie und Pharma,DAX
MTU,MTX,Aerospace,DAX
Munich Re,MUV2,Insurance,DAX
RWE,RWE,Versorger,DAX
SAP,SAP,Standardsoftware,DAX
Siemens,SIE,Elektrotechnik,DAX
Vonovia,VNA,Real Estate,DAX
Volkswagen,VOW3,Automobilproduktion,DAX
Wirecard,WDI,Finanztechnologie,DAX
